Data Op.;Data Val.;Causale;Descrizione;Importo;Divisa
30/07/2026;30/07/2026;PAGAMENTO UTENZE;SDD A : UTILITY PROVIDER ADDEBITO SDD NUMERO 0000000001;'-61,20;EUR
29/07/2026;29/07/2026;PRELIEVO SPORT. AUTOM. ALTRA BANCA;PREL. CON CARTA 00000000 DEL 29/07/26 ALTRA BANCA -SPORT. ROMA;'-500,00;EUR
28/07/2026;28/07/2026;PAGAMENTO TRAMITE POS;POS CARTA 00000000 DEL 28/07/26 C/O SUPERMARKET - ROMA;'-42,10;EUR
01/07/2026;01/07/2026;ACCREDITO EMOLUMENTI;PENSIONE INPS 0000 000 00000000 01 DEL 01.07.2026;2879,70;EUR
05/07/2026;05/07/2026;GIROCONTO/BONIFICO;ORD:MITTENTE SAMPLE DT.ORD:000000 DESCR.OPERAZIONE SCT:RIMBORSO;231,00;EUR
01/06/2026;01/06/2026;CEDOLE, DIVIDENDI, PREMI ESTRATTI;CEDOLA:BTP SAMPLE 1/12/2026 IT0000000001 DOS:00000/00000000 NOMINALE: 40.000,00 TASSO: 1,25 ALIQ: 12,50 RITENUTA: 31,25 DATA : 01/06/2026 N.MOVIM: 1;218,75;EUR
15/06/2026;15/06/2026;CEDOLE, DIVIDENDI, PREMI ESTRATTI;DIVIDENDO AZIONE SAMPLE IT0000000002 DOS:00000/00000000;95,40;EUR
16/06/2026;16/06/2026;CEDOLE, DIVIDENDI, PREMI ESTRATTI;DIVIDENDO CONGUAGLIO SENZA TITOLO IDENTIFICATO;12,00;EUR
14/07/2026;30/06/2026;COMMISS./SPESE SU OPERAZ. TITOLI;ADDEBITO CAPITAL GAIN (D.LGS 461/97) 0000000000000 DATA:21/05/2026;'-21,42;EUR
01/06/2026;01/06/2026;COMMISS./SPESE SU OPERAZ. TITOLI;SPESE STACCO CEDOLA DEL 01/06/2026 DOSSIER: 00000/00000000 TIT: IT0000000001;'-1,50;EUR
30/06/2026;30/06/2026;COMMISSIONI/SPESE;Imposta bollo prodotti finanziari DATA 30/06/2026 RAPP.00000/0000000000000 TIT;'-87,50;EUR
30/06/2026;30/06/2026;COMMISSIONI/SPESE;SPESE DI GESTIONE E AMMINISTRAZ. DOS:0000/00000000 DATA:30/06/2026;'-10,00;EUR
30/06/2026;30/06/2026;INTERESSI/COMPETENZE;CANONE MENSILE CONTO SMART 06/26;'-4,00;EUR
31/12/2025;31/12/2025;INTERESSI/COMPETENZE;INTERESSI CREDITORI LORDI ANNO 2025;3,20;EUR
21/05/2026;21/05/2026;COMPRAVENDITA TITOLI/FONDI/OPZIONI;NOTA INF. ACQ. TIT:BTP SAMPLE DOSS:00000/00000000;'-40.000,00;EUR
02/06/2026;02/06/2026;CEDOLE, DIVIDENDI, PREMI ESTRATTI;CEDOLA:BTP OTHER 1/9/2030 IT0000000003 DOS:00000/00000000 NOMINALE: 20.000,00 TASSO: 2,00;200,00;EUR
10/05/2026;10/05/2026;COMPRAVENDITA TITOLI/FONDI/OPZIONI;NOTA INF. ACQ. TIT:BTP OTHER 1/9/2030 DOSS:00000/00000000;'-20.412,33;EUR
20/07/2026;20/07/2026;COMPRAVENDITA TITOLI/FONDI/OPZIONI;NOTA INF. VEND. TIT:BTP OTHER 1/9/2030 DOSS:00000/00000000;20.180,00;EUR
15/07/2026;15/07/2026;COMPRAVENDITA TITOLI/FONDI/OPZIONI;SOTTOSC SICAV ORD.:2026/000000001 SAMPLE GLOB EQ FUND;'-5.000,00;EUR
26/05/2025;26/05/2025;TITOLI SCADUTI O ESTRATTI;RIMB.TIT. BTP SAMPLE (0000000 ) DOS:00000/00000000 26/05/25;30.105,00;EUR
10/07/2026;10/07/2026;COMMISSIONI/SPESE;STORNO SPESE - RIMBORSO COMMISSIONI PROMO;5,00;EUR
20/06/2026;20/06/2026;CEDOLE, DIVIDENDI, PREMI ESTRATTI;STORNO CEDOLA ERRATA IT0000000001 DOS:00000/00000000;'-50,00;EUR
11/11/2025;11/11/2025;GIROCONTO/BONIFICO;ORD:SAMPLE FUND SICAV DT.ORD:000000 DESCR.OPERAZIONESCT::RIMBORSI: : : :SU SAMPLE FUND SIC AV CL B<*> RIFERIMENTO SCT:XX-2025-11-10-000000001 IDENTIFICATIVO SCT:;9.984,47;EUR
12/07/2026;12/07/2026;OPERAZIONE NON CENSITA;MOVIMENTO DI PROVA MAI VISTO PRIMA;'-33,00;EUR
18/07/2026;18/07/2026;GIROCONTO/BONIFICO;ORD:AGENZIA ENTRATE DT.ORD:000000 DESCR.OPERAZIONE SCT:RIMBORSO IRPEF 2025;412,00;EUR
19/07/2026;19/07/2026;GIROCONTO/BONIFICO;ORD:UTILITY PROVIDER DT.ORD:000000 DESCR.OPERAZIONE SCT:RIMBORSO CONGUAGLIO;27,45;EUR
