Data operazione;Nome;Divisa;Causale;Prezzo;Divisa;Cambio;Quantità;Controvalore in Euro;Data valuta
01/06/2026;BTP 1/12/2026 1.25%;EUR;CEDOLA;0,00;EUR;1;40000;218,75;01/06/2026
25/05/2026;BTP PIU 25-2-33 CUM;EUR;CEDOLA;0,00;EUR;1;15000;93,52;25/05/2026
21/05/2026;BTP 05/26 0.55FOICUM;EUR;TITOLI SCADUTI;100,40;000;1;0;30.105,00;21/05/2026
21/05/2026;BTP 05/26 0.55FOICUM;EUR;CEDOLA;0,00;EUR;1;30000;338,04;21/05/2026
17/05/2026;BTP 17-11-28 FUT CUM;EUR;CEDOLA;0,00;EUR;1;85000;223,12;18/05/2026
16/05/2026;BTP FUT 16-11-33 CUM;EUR;CEDOLA;0,00;EUR;1;55000;324,84;18/05/2026
28/04/2026;BTP 19-27 0.65%FOIEX;EUR;CEDOLA;0,00;EUR;1;35000;258,99;28/04/2026
28/04/2026;BTP 19-27 0.65FOICUM;EUR;CEDOLA;0,00;EUR;1;40000;295,99;28/04/2026
27/04/2026;BTP FUT 27-04-37 CUM;EUR;CEDOLA;0,00;EUR;1;20000;105,00;27/04/2026
01/03/2026;BTP 01/03/35 3,35%;EUR;CEDOLA;0,00;EUR;1;50000;732,81;02/03/2026
01/03/2026;BTP 1/3/32 1,65%;EUR;CEDOLA;0,00;EUR;1;50000;360,94;02/03/2026
25/02/2026;BTP PIU 25-2-33 CUM;EUR;CEDOLA;0,00;EUR;1;15000;93,52;25/02/2026
15/02/2026;BTP 15/02/29 0,45%;EUR;CEDOLA;0,00;EUR;1;50000;98,44;16/02/2026
01/02/2026;BTP 1/08/30 0.95%;EUR;CEDOLA;0,00;EUR;1;50000;207,81;02/02/2026
01/02/2026;BTP 01/08/31 0,60%;EUR;CEDOLA;0,00;EUR;1;50000;131,25;02/02/2026
01/12/2025;BTP 1/12/2026 1.25%;EUR;CEDOLA;0,00;EUR;1;40000;218,75;01/12/2025
25/11/2025;BTP PIU 25-2-33 CUM;EUR;CEDOLA;0,00;EUR;1;15000;93,52;25/11/2025
21/11/2025;BTP 05/26 0.55FOICUM;EUR;CEDOLA;0,00;EUR;1;30000;167,74;21/11/2025
17/11/2025;BTP 17-11-28 FUT CUM;EUR;CEDOLA;0,00;EUR;1;85000;223,12;17/11/2025
16/11/2025;BTP FUT 16-11-33 CUM;EUR;CEDOLA;0,00;EUR;1;55000;180,47;17/11/2025
10/11/2025;AMUNDI PRIMO INV LC;EUR;FONDI: RIMBORSO;5,41;EUR;1;1867.178;9984,47;11/11/2025
07/11/2025;AMUNDI PIO GLOB EQ G;EUR;SICAV: SOTTOSCR;10,58;EUR;1;1843.575;20.129,44;06/11/2025
28/10/2025;BTP 19-27 0.65FOICUM;EUR;CEDOLA;0,00;EUR;1;40000;322,67;28/10/2025
28/10/2025;BTP 19-27 0.65%FOIEX;EUR;CEDOLA;0,00;EUR;1;35000;282,34;28/10/2025
27/10/2025;BTP FUT 27-04-37 CUM;EUR;CEDOLA;0,00;EUR;1;20000;105,00;27/10/2025
01/09/2025;BTP 1/3/32 1,65%;EUR;CEDOLA;0,00;EUR;1;50000;360,94;01/09/2025
01/09/2025;BTP 01/03/35 3,35%;EUR;CEDOLA;0,00;EUR;1;50000;732,81;01/09/2025
25/08/2025;BTP PIU 25-2-33 CUM;EUR;CEDOLA;0,00;EUR;1;15000;93,52;25/08/2025
